"","x"
"1","alligator"
"2","alpaca"
"3","ant"
"4","anteater"
"5","antelope"
"6","ape"
"7","armadillo"
"8","badger"
"9","baldeagle"
"10","bat"
"11","beagle"
"12","bear"
"13","beaver"
"14","bee"
"15","beetle"
"16","bird"
"17","bison"
"18","blackbear"
"19","blackheadedgull"
"20","blackwidow"
"21","bluebird"
"22","bluejay"
"23","boar"
"24","bobcat"
"25","boxturtle"
"26","brownbear"
"27","buffalo"
"28","bull"
"29","bumblebee"
"30","bunny"
"31","camel"
"32","canary"
"33","capybara"
"34","caribou"
"35","cat"
"36","chameleon"
"37","cheetah"
"38","chicken"
"39","chimpanzee"
"40","chinchilla"
"41","chipmunk"
"42","clownfish"
"43","cobra"
"44","cougar"
"45","cow"
"46","crab"
"47","cricket"
"48","crocodile"
"49","deer"
"50","dingo"
"51","dog"
"52","dolphin"
"53","donkey"
"54","duck"
"55","dungbeetle"
"56","eagle"
"57","echidna"
"58","elephant"
"59","elk"
"60","emu"
"61","falcon"
"62","ferret"
"63","fish"
"64","flamingo"
"65","fly"
"66","fox"
"67","frog"
"68","gazelle"
"69","gerbil"
"70","gilamonster"
"71","giraffe"
"72","goat"
"73","goose"
"74","gopher"
"75","gorilla"
"76","grasshopper"
"77","greatwhiteshark"
"78","grizzlybear"
"79","groundhog"
"80","guineapig"
"81","hamster"
"82","hare"
"83","hawk"
"84","hedgehog"
"85","hippopotamus"
"86","horse"
"87","human"
"88","humpbackwhale"
"89","hyena"
"90","ibex"
"91","impala"
"92","jaguar"
"93","kangaroo"
"94","koala"
"95","koalabear"
"96","lamb"
"97","lemur"
"98","leopard"
"99","lion"
"100","lizard"
"101","llama"
"102","lobster"
"103","lovebird"
"104","lynx"
"105","mammoth"
"106","manatee"
"107","mantis"
"108","marmoset"
"109","meerkat"
"110","mole"
"111","mongoose"
"112","monkey"
"113","moose"
"114","mountainlion"
"115","mouse"
"116","narwhal"
"117","ocelot"
"118","octopus"
"119","opossum"
"120","orangutan"
"121","orca"
"122","ostrich"
"123","otter"
"124","owl"
"125","ox"
"126","panda"
"127","pandabear"
"128","panther"
"129","parakeet"
"130","parrot"
"131","peacock"
"132","penguin"
"133","pig"
"134","pigeon"
"135","platypus"
"136","polarbear"
"137","porcupine"
"138","porpoise"
"139","possum"
"140","prairiedog"
"141","python"
"142","rabbit"
"143","raccoon"
"144","ram"
"145","rat"
"146","rattlesnake"
"147","redpanda"
"148","rhinoceros"
"149","robin"
"150","rooster"
"151","salmon"
"152","scorpion"
"153","seacow"
"154","seagull"
"155","seal"
"156","sealion"
"157","seaturtle"
"158","shark"
"159","sheep"
"160","shrew"
"161","skate"
"162","skunk"
"163","sloth"
"164","slowloris"
"165","snake"
"166","snappingturtle"
"167","sparrow"
"168","spider"
"169","squid"
"170","squirrel"
"171","stallion"
"172","stingray"
"173","stork"
"174","sugarglider"
"175","sunconure"
"176","swallow"
"177","swan"
"178","tarantula"
"179","tasmaniandevil"
"180","tiger"
"181","toad"
"182","tortoise"
"183","trout"
"184","tuna"
"185","turkey"
"186","turtle"
"187","wallaby"
"188","walrus"
"189","warthog"
"190","wasp"
"191","weasel"
"192","whale"
"193","wildebeest"
"194","wolf"
"195","wolfhound"
"196","worm"
"197","yellowjacket"
"198","zebra"
